00141.jpg r:0.00010102162923431024, g:0.00010580733942333609, b:0.00010312959784641862
00142.jpg r:1.8119902961188927e-05, g:1.881200478237588e-05, b:1.7531177945784293e-05
00143.jpg r:0.00012853887164965272, g:0.00014218325668480247, b:0.0001661897695157677
00144.jpg r:0.00039675936568528414, g:0.0004950407310388982, b:0.0005506117595359683
00145.jpg r:6.329832831397653e-05, g:9.434937965124846e-05, b:0.00013149970618542284
00146.jpg r:9.163536742562428e-05, g:0.00015538539446424693, b:0.0001850106054916978
00147.jpg r:0.00041318003786727786, g:0.0005151228397153318, b:0.0007438688189722598
00148.jpg r:0.0001736162812449038, g:0.00018105891649611294, b:0.00018944093608297408
00149.jpg r:0.00010678025137167424, g:0.00011906860891031101, b:0.00014716185978613794
00150.jpg r:0.00017312620184384286, g:0.00018163910135626793, b:0.0001917462213896215
00151.jpg r:0.0004754591209348291, g:0.0004901455831713974, b:0.0005699124885722995
00152.jpg r:8.032657933654264e-05, g:7.617415394634008e-05, b:7.797652506269515e-05
00153.jpg r:0.0002964276645798236, g:0.00030448788311332464, b:0.0003366865566931665
00154.jpg r:0.00034481531474739313, g:0.00033614865969866514, b:0.0003446867340244353
00155.jpg r:0.0028785141184926033, g:0.0028680453542619944, b:0.0030930298380553722
00156.jpg r:7.279845158336684e-05, g:9.091256652027369e-05, b:0.00012956993305124342
00157.jpg r:0.00022543364320881665, g:0.0002989032363984734, b:0.00039799296064302325
00158.jpg r:0.00040512048872187734, g:0.00042325491085648537, b:0.00044087384594604373
00159.jpg r:0.0002482973213773221, g:0.0003444886824581772, b:0.0005127041949890554
00160.jpg r:0.00015319781959988177, g:0.0002600503503344953, b:0.0004441628698259592
00161.jpg r:5.310578126227483e-05, g:7.574777555419132e-05, b:9.604399383533746e-05
00162.jpg r:0.00011198871652595699, g:0.0001203625652124174, b:0.0001350898528471589
00163.jpg r:0.0004192027263343334, g:0.00042401146492920816, b:0.00044012308353558183
00164.jpg r:5.5590680858585984e-05, g:4.752755194203928e-05, b:6.446373299695551e-05
00165.jpg r:3.5748438676819205e-05, g:4.7456007450819016e-05, b:6.198837218107656e-05
00166.jpg r:8.614016405772418e-05, g:0.00011720429756678641, b:0.00015642106882296503
00167.jpg r:5.929082180955447e-05, g:5.885944119654596e-05, b:4.6922985347919166e-05
00168.jpg r:0.00014261703472584486, g:0.00016671934281475842, b:0.00018339016241952777
00169.jpg r:0.0001554318587295711, g:0.00016164746193680912, b:0.00016544325626455247
00170.jpg r:2.433802728774026e-05, g:1.8203438230557367e-05, b:1.1857251593028195e-05
00171.jpg r:3.823950009973487e-06, g:4.014475507574389e-06, b:3.4048568977596005e-06
00172.jpg r:1.4005125194671564e-05, g:1.0964145985781215e-05, b:8.861283276928589e-06
00173.jpg r:0.00023107760353013873, g:0.000230681398534216, b:0.00022896769223734736
00174.jpg r:0.00020029362349305302, g:0.00022500634077005088, b:0.00016704099834896624
00176.jpg r:0.00022446716320700943, g:0.00022415496641770005, b:0.0002363421954214573
00177.jpg r:0.00010690678027458489, g:9.198345651384443e-05, b:8.654796693008393e-05
00178.jpg r:6.381867569871247e-05, g:7.924392411950976e-05, b:0.00010351585660828277
00179.jpg r:0.00018256145995110273, g:0.00014610879588872194, b:0.00013853741984348744
00180.jpg r:0.0002340379578527063, g:0.0002504938165657222, b:0.00026370352134108543
00181.jpg r:6.809091428294778e-05, g:7.315134280361235e-05, b:0.00010994172771461308
00182.jpg r:9.59596800385043e-05, g:9.674072498455644e-05, b:9.872094233287498e-05
00183.jpg r:0.00010129832662642002, g:0.00011019506200682372, b:0.00012142787454649806
00184.jpg r:6.227596168173477e-05, g:5.8069526858162135e-05, b:4.838355380343273e-05
00185.jpg r:0.0001125346971093677, g:0.0001305808691540733, b:0.00015154681750573218
00186.jpg r:0.0002011395845329389, g:0.0002296851307619363, b:0.0002923789725173265
00187.jpg r:0.0003398200497031212, g:0.000338504440151155, b:0.00035383025533519685
00188.jpg r:0.00014166207984089851, g:0.00016014550055842847, b:0.00015112000983208418
00189.jpg r:8.349928975803778e-05, g:7.8780205512885e-05, b:7.583867409266531e-05
00190.jpg r:2.7732603484764695e-05, g:3.313025081297383e-05, b:3.7296078517101705e-05
00191.jpg r:0.0001810543762985617, g:0.00020809657871723175, b:0.00022976030595600605
00192.jpg r:5.359165515983477e-05, g:6.592963472940028e-05, b:7.807057409081608e-05
